PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,SCM_PP,SCM_PR,SCM_OR,SCM_TW,MTD|AE_PP,MTD|AE_PR,MTD|AE_OR,MTD|AE_TW,ORM_PP,ORM_PR,ORM_OR,ORM_TW,CAIPE_PP,CAIPE_PR,CAIPE_OR,CAIPE_TW,(PRO_PP,(PRO_PR,(PRO_OR,(PRO_TW,APT_PP,APT_PR,APT_OR,APT_TW,MAR_PP,MAR_PR,MAR_OR,MAR_TW,EHFIE|PD_PP,EHFIE|PD_PR,EHFIE|PD_OR,EHFIE|PD_TW,IIPT_PP,IIPT_PR,IIPT_OR,IIPT_TW,TPP_PP,TPP_PR,TPP_OR,TPP_TW
12345678Z,COLNAME,PROD,1008,0,1008,58,0,0,44,53,0,0,40,53,0,40,0,0,0,0,37,0,0,89,90,45,0,0,38,60,0,37,0,50,0,0,0,0,0,92,0,0,0,21,22
12345678Z,COLNAME,PROD,828,0,828,55,0,0,22,56,0,0,32,40,0,35,0,0,0,0,35,0,0,66,74,40,0,0,34,44,0,30,0,49,0,0,0,0,0,67,0,0,0,20,19
12345678Z,COLNAME,PROD,804,0,804,44,0,0,40,48,0,0,28,40,0,30,0,0,0,0,31,0,0,66,74,47,0,0,32,40,0,30,0,40,0,0,0,0,0,67,0,0,0,18,19
12345678Z,COLNAME,PROD,884,0,884,40,0,0,40,44,0,0,33,41,0,35,0,0,0,0,32,0,0,81,81,40,0,0,33,59,0,31,0,44,0,0,0,0,0,79,0,0,0,21,21
12345678Z,COLNAME,PROD,909,0,909,51,0,0,34,58,0,0,34,41,0,37,0,0,0,0,37,0,0,78,84,59,0,0,36,53,0,30,0,43,0,0,0,0,0,77,0,0,0,19,20
12345678Z,COLNAME,PROD,1124,0,1124,65,0,0,42,71,0,0,45,43,0,44,0,0,0,0,46,0,0,89,94,66,0,0,46,79,0,46,0,69,0,0,0,0,0,94,0,0,0,22,23
12345678Z,COLNAME,PROD,1010,0,1010,62,0,0,42,57,0,0,40,40,0,41,0,0,0,0,42,0,0,80,85,54,0,0,44,57,0,42,0,59,0,0,0,0,0,86,0,0,0,21,22
12345678Z,COLNAME,PROD,913,0,913,64,0,0,34,58,0,0,37,49,0,38,0,0,0,0,40,0,0,66,70,44,0,0,39,58,0,35,0,55,0,0,0,0,0,70,0,0,0,20,21
12345678Z,COLNAME,PROD,953,0,953,69,0,0,35,56,0,0,34,40,0,35,0,0,0,0,32,0,0,81,83,44,0,0,39,54,0,39,0,54,0,0,0,0,0,82,0,0,0,23,23
12345678Z,COLNAME,PROD,866,0,866,65,0,0,33,60,0,0,32,40,0,32,0,0,0,0,40,0,0,70,70,43,0,0,39,40,0,30,0,52,0,0,0,0,0,70,0,0,0,17,18
12345678Z,COLNAME,PROD,948,0,948,60,0,0,42,43,0,0,39,40,0,40,0,0,0,0,40,0,0,82,85,42,0,0,44,47,0,36,0,52,0,0,0,0,0,81,0,0,0,22,23
12345678Z,COLNAME,PROD,914,0,914,46,0,0,43,43,0,0,32,40,0,34,0,0,0,0,39,0,0,80,80,50,0,0,41,46,0,37,0,48,0,0,0,0,0,82,0,0,0,21,21
12345678Z,COLNAME,PROD,942,0,942,58,0,0,43,51,0,0,40,46,0,39,0,0,0,0,42,0,0,79,84,40,0,0,42,49,0,36,0,42,0,0,0,0,0,80,0,0,0,20,21
12345678Z,COLNAME,PROD,904,0,904,58,0,0,35,50,0,0,30,45,0,32,0,0,0,0,35,0,0,77,79,40,0,0,39,52,0,42,0,45,0,0,0,0,0,78,0,0,0,19,20
12345678Z,COLNAME,PROD,965,0,965,60,0,0,34,64,0,0,38,40,0,40,0,0,0,0,38,0,0,80,79,52,0,0,36,61,0,35,0,57,0,0,0,0,0,83,0,0,0,22,21
12345678Z,COLNAME,PROD,970,0,970,67,0,0,43,55,0,0,42,43,0,42,0,0,0,0,40,0,0,79,82,43,0,0,38,54,0,37,0,54,0,0,0,0,0,80,0,0,0,21,22
12345678Z,COLNAME,PROD,952,0,952,63,0,0,42,53,0,0,36,50,0,38,0,0,0,0,40,0,0,76,81,53,0,0,40,51,0,35,0,47,0,0,0,0,0,78,0,0,0,20,21
12345678Z,COLNAME,PROD,1034,0,1034,51,0,0,38,61,0,0,43,40,0,42,0,0,0,0,44,0,0,87,88,49,0,0,44,67,0,42,0,67,0,0,0,0,0,89,0,0,0,23,22
12345678Z,COLNAME,PROD,904,0,904,63,0,0,42,43,0,0,33,40,0,38,0,0,0,0,34,0,0,78,85,45,0,0,35,58,0,30,0,40,0,0,0,0,0,77,0,0,0,21,22
12345678Z,COLNAME,PROD,999,0,999,69,0,0,40,58,0,0,42,40,0,43,0,0,0,0,45,0,0,82,84,43,0,0,34,55,0,42,0,57,0,0,0,0,0,85,0,0,0,22,23
12345678Z,COLNAME,PROD,995,0,995,70,0,0,37,63,0,0,40,40,0,38,0,0,0,0,35,0,0,80,88,54,0,0,36,62,0,30,0,76,0,0,0,0,0,82,0,0,0,20,22
12345678Z,COLNAME,PROD,950,0,950,62,0,0,39,42,0,0,43,56,0,41,0,0,0,0,43,0,0,80,85,40,0,0,42,49,0,40,0,51,0,0,0,0,0,81,0,0,0,18,18
